the, 178, 0.07, 0.0
and, 79, 0.03, 0.0
in, 61, 0.02, 0.0
of, 61, 0.02, 0.0
to, 46, 0.02, 0.0
with, 45, 0.02, 0.0
a, 42, 0.02, 0.0
is, 40, 0.02, 0.0
as, 38, 0.01, 0.0
romanian, 32, 0.01, 0.03
are, 27, 0.01, 0.01
for, 25, 0.01, 0.0
fonts, 22, 0.01, 0.03
letters, 22, 0.01, 0.03
this, 20, 0.01, 0.01
cedilla, 18, 0.01, 0.03
that, 18, 0.01, 0.0
not, 17, 0.01, 0.01
used, 16, 0.01, 0.01
by, 16, 0.01, 0.0
was, 15, 0.01, 0.0
spelling, 15, 0.01, 0.03
or, 15, 0.01, 0.01
unicode, 14, 0.01, 0.03
which, 14, 0.01, 0.01
their, 13, 0.01, 0.01
words, 13, 0.01, 0.02
variants, 13, 0.01, 0.03
use, 13, 0.01, 0.01
