the, 33, 0.07, 0.0
of, 20, 0.04, 0.0
in, 18, 0.04, 0.0
he, 13, 0.03, 0.01
to, 12, 0.02, 0.0
and, 11, 0.02, 0.0
got, 8, 0.02, 0.05
as, 7, 0.01, 0.0
a, 7, 0.01, 0.0
was, 6, 0.01, 0.0
on, 6, 0.01, 0.0
housing, 5, 0.01, 0.03
party, 5, 0.01, 0.02
labour, 5, 0.01, 0.02
main, 5, 0.01, 0.02
building, 4, 0.01, 0.02
association, 4, 0.01, 0.02
for, 4, 0.01, 0.0
william, 4, 0.01, 0.02
sutton, 4, 0.01, 0.03
parliament, 3, 0.01, 0.02
an, 3, 0.01, 0.0
at, 3, 0.01, 0.0
bradford, 3, 0.01, 0.03
st, 3, 0.01, 0.01
bingley, 3, 0.01, 0.03
homes, 3, 0.01, 0.03
society, 3, 0.01, 0.02
again, 3, 0.01, 0.02
april, 3, 0.01, 0.02
albans, 3, 0.01, 0.03
have, 3, 0.01, 0.01
chair, 3, 0.01, 0.02
his, 3, 0.01, 0.01
day, 3, 0.01, 0.02
group, 3, 0.01, 0.02
mp, 3, 0.01, 0.02
general, 3, 0.01, 0.01
