the, 23, 0.09, 0.0
in, 13, 0.05, 0.0
was, 11, 0.04, 0.01
maine, 10, 0.04, 0.11
of, 9, 0.03, 0.0
law, 8, 0.03, 0.05
and, 6, 0.02, 0.0
to, 4, 0.02, 0.0
portland, 4, 0.02, 0.06
states, 4, 0.02, 0.03
laws, 3, 0.01, 0.03
as, 3, 0.01, 0.0
liquor, 3, 0.01, 0.03
dow, 3, 0.01, 0.02
known, 3, 0.01, 0.01
prohibition, 3, 0.01, 0.03
that, 3, 0.01, 0.0
during, 2, 0.01, 0.01
mayor, 2, 0.01, 0.02
a, 2, 0.01, 0.0
one, 2, 0.01, 0.01
riot, 2, 0.01, 0.03
england, 2, 0.01, 0.02
united, 2, 0.01, 0.01
for, 2, 0.01, 0.0
street, 2, 0.01, 0.02
or, 2, 0.01, 0.01
manchester, 2, 0.01, 0.02
renamed, 2, 0.01, 0.02
temperance, 2, 0.01, 0.03
