the, 18, 0.08, 0.0
of, 13, 0.05, 0.0
in, 9, 0.04, 0.0
he, 9, 0.04, 0.02
a, 8, 0.03, 0.0
was, 7, 0.03, 0.01
and, 6, 0.03, 0.0
for, 5, 0.02, 0.0
canadian, 4, 0.02, 0.04
is, 4, 0.02, 0.0
reform, 4, 0.02, 0.04
as, 4, 0.02, 0.0
canada, 4, 0.02, 0.04
to, 3, 0.01, 0.0
alliance, 3, 0.01, 0.02
his, 3, 0.01, 0.01
party, 3, 0.01, 0.02
parliament, 2, 0.01, 0.02
when, 2, 0.01, 0.02
former, 2, 0.01, 0.02
hill, 2, 0.01, 0.02
medical, 2, 0.01, 0.02
official, 2, 0.01, 0.02
mp, 2, 0.01, 0.02
interim, 2, 0.01, 0.03
not, 2, 0.01, 0.01
election, 2, 0.01, 0.02
partys, 2, 0.01, 0.03
pc, 2, 0.01, 0.03
