the, 89, 0.08, 0.0
of, 37, 0.03, 0.0
to, 33, 0.03, 0.0
and, 30, 0.03, 0.0
a, 25, 0.02, 0.0
her, 23, 0.02, 0.02
was, 22, 0.02, 0.0
orze, 17, 0.01, 0.03
on, 17, 0.01, 0.0
in, 15, 0.01, 0.0
by, 13, 0.01, 0.0
she, 13, 0.01, 0.01
german, 11, 0.01, 0.01
as, 10, 0.01, 0.0
had, 10, 0.01, 0.01
for, 9, 0.01, 0.0
from, 9, 0.01, 0.0
been, 8, 0.01, 0.01
were, 8, 0.01, 0.01
sea, 7, 0.01, 0.01
submarine, 7, 0.01, 0.02
that, 7, 0.01, 0.0
ship, 7, 0.01, 0.01
polish, 7, 0.01, 0.02
crew, 6, 0.01, 0.03
estonian, 6, 0.01, 0.03
september, 6, 0.01, 0.02
