the, 153, 0.07, 0.0
of, 90, 0.04, 0.0
and, 66, 0.03, 0.0
in, 54, 0.02, 0.0
tornado, 54, 0.02, 0.05
a, 43, 0.02, 0.0
to, 40, 0.02, 0.0
by, 30, 0.01, 0.0
for, 22, 0.01, 0.0
oklahoma, 21, 0.01, 0.03
at, 20, 0.01, 0.0
f, 20, 0.01, 0.0
as, 19, 0.01, 0.0
may, 19, 0.01, 0.01
on, 19, 0.01, 0.0
that, 18, 0.01, 0.0
was, 17, 0.01, 0.0
an, 16, 0.01, 0.0
with, 16, 0.01, 0.0
were, 15, 0.01, 0.01
pm, 14, 0.01, 0.03
damage, 14, 0.01, 0.03
tornadoes, 14, 0.01, 0.03
it, 13, 0.01, 0.0
cdt, 12, 0.01, 0.03
from, 12, 0.01, 0.0
