of, 4, 0.05, 0.0
in, 3, 0.04, 0.0
film, 2, 0.03, 0.05
as, 2, 0.03, 0.0
by, 2, 0.03, 0.01
a, 2, 0.03, 0.0
the, 2, 0.03, 0.0
with, 2, 0.03, 0.01
sion, 1, 0.01, 0.03
projects, 1, 0.01, 0.02
taste, 1, 0.01, 0.03
kudoh, 1, 0.01, 0.03
remains, 1, 0.01, 0.03
jarmuschs, 1, 0.01, 0.03
body, 1, 0.01, 0.02
todd, 1, 0.01, 0.03
jim, 1, 0.01, 0.03
blade, 1, 0.01, 0.03
reliable, 1, 0.01, 0.03
japanese, 1, 0.01, 0.02
starred, 1, 0.01, 0.03
aoyamas, 1, 0.01, 0.03
heroes, 1, 0.01, 0.03
largely, 1, 0.01, 0.02
costarred, 1, 0.01, 0.03
club, 1, 0.01, 0.02
unerring, 1, 0.01, 0.03
huge, 1, 0.01, 0.03
has, 1, 0.01, 0.01
train, 1, 0.01, 0.02
described, 1, 0.01, 0.02
films, 1, 0.01, 0.02
work, 1, 0.01, 0.01
suicide, 1, 0.01, 0.03
brown, 1, 0.01, 0.02
mystery, 1, 0.01, 0.03
doc, 1, 0.01, 0.02
who, 1, 0.01, 0.01
namenagase, 1, 0.01, 0.03
hidden, 1, 0.01, 0.03
masatoshi, 1, 0.01, 0.03
nagasenagase, 1, 0.01, 0.03
unknown, 1, 0.01, 0.03
seemingly, 1, 0.01, 0.03
shinji, 1, 0.01, 0.03
and, 1, 0.01, 0.0
unsung, 1, 0.01, 0.03
youki, 1, 0.01, 0.03
hugely, 1, 0.01, 0.03
twitch, 1, 0.01, 0.03
one, 1, 0.01, 0.01
was, 1, 0.01, 0.0
yoji, 1, 0.01, 0.03
despite, 1, 0.01, 0.03
great, 1, 0.01, 0.02
actor, 1, 0.01, 0.02
such, 1, 0.01, 0.01
he, 1, 0.01, 0.0
sonos, 1, 0.01, 0.03
yamadas, 1, 0.01, 0.03
