the, 37, 0.05, 0.0
her, 29, 0.04, 0.04
in, 29, 0.04, 0.0
she, 28, 0.04, 0.05
a, 18, 0.03, 0.0
and, 16, 0.02, 0.0
was, 15, 0.02, 0.0
of, 13, 0.02, 0.0
on, 11, 0.02, 0.0
matsu, 11, 0.02, 0.05
to, 10, 0.01, 0.0
with, 9, 0.01, 0.0
as, 7, 0.01, 0.0
drama, 7, 0.01, 0.02
that, 6, 0.01, 0.0
year, 5, 0.01, 0.01
at, 5, 0.01, 0.0
actor, 5, 0.01, 0.02
which, 5, 0.01, 0.01
is, 5, 0.01, 0.0
album, 5, 0.01, 0.02
starred, 4, 0.01, 0.03
has, 4, 0.01, 0.01
kimura, 4, 0.01, 0.03
takuya, 4, 0.01, 0.03
first, 4, 0.01, 0.01
also, 4, 0.01, 0.01
nhk, 4, 0.01, 0.03
