the, 821, 0.11, 0.0
of, 256, 0.04, 0.0
to, 215, 0.03, 0.0
and, 171, 0.02, 0.0
was, 144, 0.02, 0.0
in, 132, 0.02, 0.0
new, 109, 0.02, 0.02
division, 104, 0.01, 0.02
a, 93, 0.01, 0.0
on, 93, 0.01, 0.0
by, 90, 0.01, 0.0
were, 77, 0.01, 0.01
zealand, 68, 0.01, 0.02
for, 67, 0.01, 0.0
brigade, 67, 0.01, 0.02
with, 61, 0.01, 0.0
it, 54, 0.01, 0.0
had, 49, 0.01, 0.01
line, 46, 0.01, 0.02
front, 43, 0.01, 0.03
st, 43, 0.01, 0.01
as, 41, 0.01, 0.0
its, 40, 0.01, 0.01
which, 40, 0.01, 0.01
attack, 39, 0.01, 0.02
from, 39, 0.01, 0.0
at, 37, 0.01, 0.0
