the, 22, 0.09, 0.0
of, 15, 0.06, 0.0
by, 7, 0.03, 0.01
a, 5, 0.02, 0.0
to, 5, 0.02, 0.0
and, 5, 0.02, 0.0
in, 4, 0.02, 0.0
is, 4, 0.02, 0.0
an, 4, 0.02, 0.0
as, 4, 0.02, 0.0
pedo, 3, 0.01, 0.03
her, 2, 0.01, 0.01
germanicus, 2, 0.01, 0.03
ad, 2, 0.01, 0.01
being, 2, 0.01, 0.02
works, 2, 0.01, 0.02
elegies, 2, 0.01, 0.03
are, 2, 0.01, 0.01
ovid, 2, 0.01, 0.03
de, 2, 0.01, 0.01
drusi, 2, 0.01, 0.03
that, 2, 0.01, 0.0
his, 2, 0.01, 0.01
from, 2, 0.01, 0.0
consolatio, 2, 0.01, 0.03
death, 2, 0.01, 0.02
maecenatis, 2, 0.01, 0.03
poem, 2, 0.01, 0.02
on, 2, 0.01, 0.0
was, 2, 0.01, 0.0
with, 2, 0.01, 0.0
there, 2, 0.01, 0.01
he, 2, 0.01, 0.0
