of, 16, 0.05, 0.0
chant, 13, 0.04, 0.12
the, 11, 0.04, 0.0
or, 10, 0.03, 0.02
and, 9, 0.03, 0.0
a, 8, 0.03, 0.0
in, 7, 0.02, 0.0
is, 5, 0.02, 0.0
from, 4, 0.01, 0.0
chanting, 3, 0.01, 0.03
see, 3, 0.01, 0.02
gregorian, 3, 0.01, 0.03
may, 3, 0.01, 0.01
buddhist, 3, 0.01, 0.03
to, 3, 0.01, 0.0
chants, 3, 0.01, 0.03
traditions, 3, 0.01, 0.03
on, 3, 0.01, 0.0
spiritual, 3, 0.01, 0.03
practice, 2, 0.01, 0.02
musical, 2, 0.01, 0.03
singing, 2, 0.01, 0.03
as, 2, 0.01, 0.0
examples, 2, 0.01, 0.02
be, 2, 0.01, 0.0
mantras, 2, 0.01, 0.03
tradition, 2, 0.01, 0.02
one, 2, 0.01, 0.01
many, 2, 0.01, 0.01
great, 2, 0.01, 0.02
such, 2, 0.01, 0.01
speech, 2, 0.01, 0.03
later, 2, 0.01, 0.02
pitches, 2, 0.01, 0.03
eastern, 2, 0.01, 0.02
often, 2, 0.01, 0.02
especially, 2, 0.01, 0.02
anglican, 2, 0.01, 0.03
various, 2, 0.01, 0.02
