the, 25, 0.1, 0.0
is, 12, 0.05, 0.01
a, 9, 0.04, 0.0
crater, 9, 0.04, 0.11
to, 7, 0.03, 0.0
and, 7, 0.03, 0.0
by, 5, 0.02, 0.0
that, 5, 0.02, 0.01
of, 5, 0.02, 0.0
it, 4, 0.02, 0.01
lunar, 4, 0.02, 0.05
on, 4, 0.02, 0.0
rim, 3, 0.01, 0.03
small, 3, 0.01, 0.02
from, 3, 0.01, 0.0
floor, 3, 0.01, 0.03
was, 3, 0.01, 0.0
hermite, 3, 0.01, 0.03
near, 2, 0.01, 0.02
in, 2, 0.01, 0.0
discovered, 2, 0.01, 0.03
interior, 2, 0.01, 0.02
are, 2, 0.01, 0.01
side, 2, 0.01, 0.02
located, 2, 0.01, 0.02
southwest, 2, 0.01, 0.02
northern, 2, 0.01, 0.02
fahrenheit, 2, 0.01, 0.03
kelvin, 2, 0.01, 0.03
along, 2, 0.01, 0.02
with, 2, 0.01, 0.0
