a, 22, 0.08, 0.0
positive, 14, 0.05, 0.11
is, 12, 0.04, 0.01
in, 10, 0.04, 0.0
linear, 10, 0.04, 0.08
of, 10, 0.04, 0.0
the, 8, 0.03, 0.0
to, 8, 0.03, 0.0
functional, 7, 0.03, 0.07
on, 7, 0.03, 0.01
calgebra, 6, 0.02, 0.04
elements, 6, 0.02, 0.05
for, 6, 0.02, 0.0
all, 5, 0.02, 0.03
that, 4, 0.01, 0.0
functionals, 3, 0.01, 0.03
complex, 2, 0.01, 0.03
if, 2, 0.01, 0.02
case, 2, 0.01, 0.02
order, 2, 0.01, 0.02
it, 2, 0.01, 0.0
an, 2, 0.01, 0.0
as, 2, 0.01, 0.0
partial, 2, 0.01, 0.03
be, 2, 0.01, 0.0
by, 2, 0.01, 0.0
vector, 2, 0.01, 0.02
ordered, 2, 0.01, 0.02
more, 2, 0.01, 0.01
such, 2, 0.01, 0.01
x, 2, 0.01, 0.02
space, 2, 0.01, 0.02
which, 2, 0.01, 0.01
this, 2, 0.01, 0.01
its, 2, 0.01, 0.01
real, 2, 0.01, 0.02
and, 2, 0.01, 0.0
subspace, 2, 0.01, 0.03
equal, 2, 0.01, 0.02
with, 2, 0.01, 0.0
