the, 79, 0.07, 0.0
of, 51, 0.04, 0.0
in, 34, 0.03, 0.0
and, 32, 0.03, 0.0
to, 23, 0.02, 0.0
greek, 22, 0.02, 0.04
demotic, 19, 0.02, 0.06
or, 16, 0.01, 0.01
forms, 16, 0.01, 0.02
language, 15, 0.01, 0.02
with, 15, 0.01, 0.0
a, 14, 0.01, 0.0
as, 12, 0.01, 0.0
is, 12, 0.01, 0.0
that, 12, 0.01, 0.0
for, 11, 0.01, 0.0
katharevousa, 11, 0.01, 0.03
ancient, 10, 0.01, 0.02
modern, 10, 0.01, 0.02
but, 9, 0.01, 0.01
was, 9, 0.01, 0.0
form, 8, 0.01, 0.01
instead, 8, 0.01, 0.02
by, 7, 0.01, 0.0
which, 7, 0.01, 0.01
are, 7, 0.01, 0.01
used, 7, 0.01, 0.01
from, 7, 0.01, 0.0
