the, 107, 0.12, 0.0
of, 62, 0.07, 0.0
and, 28, 0.03, 0.0
in, 18, 0.02, 0.0
a, 15, 0.02, 0.0
coat, 15, 0.02, 0.05
arms, 15, 0.02, 0.04
on, 14, 0.02, 0.0
armenia, 12, 0.01, 0.03
armenian, 12, 0.01, 0.03
was, 12, 0.01, 0.0
to, 11, 0.01, 0.0
dynasty, 11, 0.01, 0.02
is, 10, 0.01, 0.0
it, 10, 0.01, 0.0
lion, 8, 0.01, 0.03
ararat, 8, 0.01, 0.03
that, 8, 0.01, 0.0
from, 8, 0.01, 0.0
mount, 7, 0.01, 0.02
adopted, 7, 0.01, 0.03
symbol, 7, 0.01, 0.02
with, 7, 0.01, 0.0
shield, 7, 0.01, 0.03
first, 7, 0.01, 0.01
eagle, 7, 0.01, 0.03
symbols, 7, 0.01, 0.03
are, 6, 0.01, 0.01
by, 6, 0.01, 0.0
as, 5, 0.01, 0.0
th, 5, 0.01, 0.0
emblem, 5, 0.01, 0.03
