the, 4, 0.11, 0.0
navy, 2, 0.06, 0.08
uss, 2, 0.06, 0.11
of, 2, 0.06, 0.0
chattanooga, 2, 0.06, 0.18
was, 2, 0.06, 0.01
been, 1, 0.03, 0.03
named, 1, 0.03, 0.04
city, 1, 0.03, 0.04
united, 1, 0.03, 0.04
behalf, 1, 0.03, 0.08
states, 1, 0.03, 0.04
and, 1, 0.03, 0.0
have, 1, 0.03, 0.03
hotel, 1, 0.03, 0.09
after, 1, 0.03, 0.03
chattanoogafour, 1, 0.03, 0.09
cardiff, 1, 0.03, 0.09
on, 1, 0.03, 0.01
tennesseein, 1, 0.03, 0.09
chattanoogadoc, 1, 0.03, 0.09
wales, 1, 0.03, 0.06
ships, 1, 0.03, 0.04
requisitioned, 1, 0.03, 0.09
renamed, 1, 0.03, 0.07
