the, 21, 0.1, 0.0
of, 9, 0.04, 0.0
in, 7, 0.03, 0.0
a, 7, 0.03, 0.0
keystone, 5, 0.02, 0.05
and, 5, 0.02, 0.0
keystones, 5, 0.02, 0.06
or, 5, 0.02, 0.01
is, 4, 0.02, 0.0
as, 4, 0.02, 0.0
at, 4, 0.02, 0.01
often, 4, 0.02, 0.03
placed, 3, 0.01, 0.02
apex, 3, 0.01, 0.03
are, 3, 0.01, 0.01
to, 3, 0.01, 0.0
vault, 3, 0.01, 0.03
mannerist, 2, 0.01, 0.03
masonry, 2, 0.01, 0.03
known, 2, 0.01, 0.01
arches, 2, 0.01, 0.03
both, 2, 0.01, 0.02
piece, 2, 0.01, 0.02
position, 2, 0.01, 0.02
for, 2, 0.01, 0.0
enlarged, 2, 0.01, 0.03
with, 2, 0.01, 0.0
due, 2, 0.01, 0.02
voussoirs, 2, 0.01, 0.03
