the, 48, 0.06, 0.0
and, 28, 0.04, 0.0
of, 22, 0.03, 0.0
band, 19, 0.03, 0.05
in, 15, 0.02, 0.0
to, 14, 0.02, 0.0
on, 14, 0.02, 0.0
a, 13, 0.02, 0.0
with, 10, 0.01, 0.0
by, 8, 0.01, 0.0
that, 8, 0.01, 0.0
was, 7, 0.01, 0.0
metal, 7, 0.01, 0.02
album, 7, 0.01, 0.02
ystein, 6, 0.01, 0.03
has, 6, 0.01, 0.01
announced, 6, 0.01, 0.02
he, 6, 0.01, 0.0
their, 6, 0.01, 0.01
black, 5, 0.01, 0.02
borknagar, 5, 0.01, 0.03
for, 5, 0.01, 0.0
lyrics, 5, 0.01, 0.03
norwegian, 5, 0.01, 0.02
bands, 5, 0.01, 0.02
from, 5, 0.01, 0.0
music, 4, 0.01, 0.01
released, 4, 0.01, 0.02
an, 4, 0.01, 0.0
deal, 4, 0.01, 0.02
be, 4, 0.01, 0.0
had, 4, 0.01, 0.01
ics, 4, 0.01, 0.03
vortex, 4, 0.01, 0.03
is, 4, 0.01, 0.0
drummer, 4, 0.01, 0.03
new, 4, 0.01, 0.01
were, 4, 0.01, 0.01
due, 4, 0.01, 0.02
