the, 59, 0.08, 0.0
of, 29, 0.04, 0.0
and, 25, 0.03, 0.0
a, 21, 0.03, 0.0
to, 21, 0.03, 0.0
cbot, 12, 0.02, 0.06
in, 12, 0.02, 0.0
trading, 12, 0.02, 0.05
is, 11, 0.01, 0.0
chicago, 10, 0.01, 0.02
by, 10, 0.01, 0.0
contracts, 9, 0.01, 0.03
on, 8, 0.01, 0.0
his, 7, 0.01, 0.01
building, 6, 0.01, 0.02
at, 6, 0.01, 0.0
cme, 6, 0.01, 0.03
board, 6, 0.01, 0.02
would, 5, 0.01, 0.02
for, 5, 0.01, 0.0
hours, 5, 0.01, 0.03
price, 5, 0.01, 0.03
as, 4, 0.01, 0.0
one, 4, 0.01, 0.01
exchange, 4, 0.01, 0.03
was, 4, 0.01, 0.0
other, 4, 0.01, 0.01
that, 4, 0.01, 0.0
were, 4, 0.01, 0.01
trade, 4, 0.01, 0.02
