the, 11, 0.05, 0.0
in, 8, 0.04, 0.0
a, 8, 0.04, 0.0
is, 7, 0.03, 0.01
of, 7, 0.03, 0.0
to, 5, 0.02, 0.0
desk, 5, 0.02, 0.06
and, 5, 0.02, 0.0
or, 5, 0.02, 0.01
liseuse, 4, 0.02, 0.06
which, 4, 0.02, 0.01
feminine, 3, 0.01, 0.03
writing, 3, 0.01, 0.03
this, 3, 0.01, 0.01
was, 3, 0.01, 0.0
it, 2, 0.01, 0.0
an, 2, 0.01, 0.0
have, 2, 0.01, 0.01
century, 2, 0.01, 0.02
th, 2, 0.01, 0.0
reader, 2, 0.01, 0.02
up, 2, 0.01, 0.01
drawers, 2, 0.01, 0.03
often, 2, 0.01, 0.02
who, 2, 0.01, 0.01
part, 2, 0.01, 0.01
for, 2, 0.01, 0.0
on, 2, 0.01, 0.0
with, 2, 0.01, 0.0
form, 2, 0.01, 0.01
