hmas, 3, 0.09, 0.15
the, 3, 0.09, 0.0
of, 3, 0.09, 0.0
brisbane, 3, 0.09, 0.27
have, 2, 0.06, 0.05
brisbanethree, 1, 0.03, 0.09
a, 1, 0.03, 0.0
capital, 1, 0.03, 0.06
named, 1, 0.03, 0.04
been, 1, 0.03, 0.03
city, 1, 0.03, 0.04
navy, 1, 0.03, 0.04
australian, 1, 0.03, 0.04
queenslandships, 1, 0.03, 0.08
three, 1, 0.03, 0.05
battle, 1, 0.03, 0.04
honoursdoc, 1, 0.03, 0.06
earned, 1, 0.03, 0.07
ships, 1, 0.03, 0.04
naval, 1, 0.03, 0.06
and, 1, 0.03, 0.0
name, 1, 0.03, 0.03
after, 1, 0.03, 0.03
royal, 1, 0.03, 0.04
base, 1, 0.03, 0.05
