the, 29, 0.1, 0.0
of, 17, 0.06, 0.0
to, 9, 0.03, 0.0
and, 6, 0.02, 0.0
chernyshev, 5, 0.02, 0.06
in, 4, 0.01, 0.0
a, 4, 0.01, 0.0
was, 4, 0.01, 0.0
he, 4, 0.01, 0.0
russian, 3, 0.01, 0.02
zakhar, 3, 0.01, 0.03
great, 3, 0.01, 0.02
first, 3, 0.01, 0.01
his, 3, 0.01, 0.01
tchernyshov, 3, 0.01, 0.03
war, 3, 0.01, 0.01
frederick, 3, 0.01, 0.03
with, 3, 0.01, 0.0
russia, 2, 0.01, 0.02
received, 2, 0.01, 0.02
at, 2, 0.01, 0.0
peter, 2, 0.01, 0.02
catherine, 2, 0.01, 0.03
berlin, 2, 0.01, 0.02
one, 2, 0.01, 0.01
prussians, 2, 0.01, 0.03
had, 2, 0.01, 0.01
upon, 2, 0.01, 0.02
burkersdorf, 2, 0.01, 0.03
marshal, 2, 0.01, 0.03
from, 2, 0.01, 0.0
forces, 2, 0.01, 0.02
chernyshov, 2, 0.01, 0.03
became, 2, 0.01, 0.02
for, 2, 0.01, 0.0
