the, 42, 0.06, 0.0
of, 25, 0.03, 0.0
in, 24, 0.03, 0.0
he, 21, 0.03, 0.01
and, 20, 0.03, 0.0
a, 19, 0.03, 0.0
to, 13, 0.02, 0.0
for, 12, 0.02, 0.0
that, 11, 0.01, 0.0
as, 10, 0.01, 0.0
hubbert, 10, 0.01, 0.03
at, 8, 0.01, 0.0
was, 8, 0.01, 0.0
his, 8, 0.01, 0.01
oil, 8, 0.01, 0.02
petroleum, 7, 0.01, 0.03
an, 6, 0.01, 0.0
from, 6, 0.01, 0.0
been, 5, 0.01, 0.01
would, 5, 0.01, 0.02
energy, 5, 0.01, 0.03
which, 5, 0.01, 0.01
on, 5, 0.01, 0.0
also, 5, 0.01, 0.01
received, 4, 0.01, 0.02
had, 4, 0.01, 0.01
production, 4, 0.01, 0.02
states, 4, 0.01, 0.01
peak, 4, 0.01, 0.02
made, 4, 0.01, 0.02
is, 4, 0.01, 0.0
have, 4, 0.01, 0.01
king, 4, 0.01, 0.02
university, 4, 0.01, 0.01
geology, 4, 0.01, 0.03
geophysics, 4, 0.01, 0.03
