the, 197, 0.12, 0.0
of, 94, 0.06, 0.0
to, 46, 0.03, 0.0
and, 45, 0.03, 0.0
a, 37, 0.02, 0.0
territory, 37, 0.02, 0.05
in, 36, 0.02, 0.0
arizona, 27, 0.02, 0.05
was, 22, 0.01, 0.0
new, 20, 0.01, 0.01
for, 16, 0.01, 0.0
battle, 14, 0.01, 0.01
mexico, 14, 0.01, 0.02
as, 13, 0.01, 0.0
at, 13, 0.01, 0.0
from, 12, 0.01, 0.0
by, 11, 0.01, 0.0
union, 11, 0.01, 0.02
with, 11, 0.01, 0.0
mesilla, 10, 0.01, 0.03
war, 10, 0.01, 0.01
fort, 9, 0.01, 0.02
government, 9, 0.01, 0.02
on, 9, 0.01, 0.0
california, 9, 0.01, 0.02
