the, 21, 0.06, 0.0
in, 17, 0.05, 0.0
to, 10, 0.03, 0.0
of, 10, 0.03, 0.0
a, 9, 0.02, 0.0
his, 9, 0.02, 0.01
and, 9, 0.02, 0.0
was, 7, 0.02, 0.0
gonzlez, 6, 0.02, 0.06
he, 6, 0.02, 0.01
competition, 5, 0.01, 0.03
anthem, 4, 0.01, 0.03
national, 4, 0.01, 0.02
her, 4, 0.01, 0.01
mexican, 4, 0.01, 0.03
from, 4, 0.01, 0.0
luis, 3, 0.01, 0.03
after, 3, 0.01, 0.01
under, 3, 0.01, 0.01
bocanegra, 3, 0.01, 0.03
potos, 3, 0.01, 0.03
for, 3, 0.01, 0.0
francisco, 3, 0.01, 0.03
him, 3, 0.01, 0.01
san, 3, 0.01, 0.02
skills, 2, 0.01, 0.03
by, 2, 0.01, 0.0
de, 2, 0.01, 0.01
official, 2, 0.01, 0.02
fiance, 2, 0.01, 0.03
which, 2, 0.01, 0.01
announced, 2, 0.01, 0.02
father, 2, 0.01, 0.02
poet, 2, 0.01, 0.02
spanish, 2, 0.01, 0.02
room, 2, 0.01, 0.02
mara, 2, 0.01, 0.03
family, 2, 0.01, 0.02
verses, 2, 0.01, 0.03
president, 2, 0.01, 0.02
write, 2, 0.01, 0.03
being, 2, 0.01, 0.02
mexico, 2, 0.01, 0.02
constant, 2, 0.01, 0.03
all, 2, 0.01, 0.01
were, 2, 0.01, 0.01
on, 2, 0.01, 0.0
poetic, 2, 0.01, 0.03
until, 2, 0.01, 0.02
