the, 67, 0.05, 0.0
of, 58, 0.05, 0.0
and, 44, 0.04, 0.0
in, 41, 0.03, 0.0
to, 33, 0.03, 0.0
a, 26, 0.02, 0.0
was, 23, 0.02, 0.0
cotler, 22, 0.02, 0.06
on, 19, 0.02, 0.0
as, 18, 0.01, 0.0
he, 18, 0.01, 0.0
for, 16, 0.01, 0.0
rights, 15, 0.01, 0.02
human, 13, 0.01, 0.02
justice, 10, 0.01, 0.02
an, 9, 0.01, 0.0
law, 9, 0.01, 0.02
has, 9, 0.01, 0.01
from, 9, 0.01, 0.0
is, 8, 0.01, 0.0
that, 8, 0.01, 0.0
international, 8, 0.01, 0.02
his, 8, 0.01, 0.01
by, 7, 0.01, 0.0
liberal, 7, 0.01, 0.02
minister, 7, 0.01, 0.02
party, 7, 0.01, 0.02
