the, 80, 0.08, 0.0
of, 39, 0.04, 0.0
in, 29, 0.03, 0.0
to, 28, 0.03, 0.0
and, 23, 0.02, 0.0
a, 22, 0.02, 0.0
newcastle, 21, 0.02, 0.05
was, 19, 0.02, 0.0
ran, 12, 0.01, 0.01
be, 10, 0.01, 0.0
for, 10, 0.01, 0.0
two, 10, 0.01, 0.01
ships, 10, 0.01, 0.01
with, 9, 0.01, 0.0
an, 8, 0.01, 0.0
as, 8, 0.01, 0.0
is, 8, 0.01, 0.0
ship, 7, 0.01, 0.01
frigate, 7, 0.01, 0.02
by, 6, 0.01, 0.0
named, 6, 0.01, 0.01
on, 6, 0.01, 0.0
one, 6, 0.01, 0.01
mark, 6, 0.01, 0.02
australian, 6, 0.01, 0.01
persian, 5, 0.01, 0.03
that, 5, 0.01, 0.0
were, 5, 0.01, 0.01
honours, 5, 0.01, 0.02
during, 5, 0.01, 0.01
first, 5, 0.01, 0.01
part, 5, 0.01, 0.01
