the, 40, 0.06, 0.0
and, 26, 0.04, 0.0
of, 24, 0.04, 0.0
to, 20, 0.03, 0.0
in, 20, 0.03, 0.0
bertrada, 15, 0.02, 0.06
was, 15, 0.02, 0.0
pepin, 11, 0.02, 0.06
a, 10, 0.01, 0.0
charlemagne, 10, 0.01, 0.03
her, 8, 0.01, 0.01
that, 7, 0.01, 0.0
have, 6, 0.01, 0.01
as, 5, 0.01, 0.0
at, 5, 0.01, 0.0
carloman, 5, 0.01, 0.03
had, 5, 0.01, 0.01
between, 5, 0.01, 0.01
bertha, 5, 0.01, 0.03
pepins, 4, 0.01, 0.03
broadfoot, 4, 0.01, 0.03
adenes, 4, 0.01, 0.03
this, 4, 0.01, 0.01
for, 4, 0.01, 0.0
with, 4, 0.01, 0.0
is, 4, 0.01, 0.0
queen, 4, 0.01, 0.02
born, 4, 0.01, 0.02
his, 4, 0.01, 0.01
