the, 98, 0.08, 0.0
in, 44, 0.04, 0.0
and, 29, 0.03, 0.0
was, 29, 0.03, 0.01
a, 26, 0.02, 0.0
of, 24, 0.02, 0.0
to, 23, 0.02, 0.0
his, 22, 0.02, 0.01
at, 19, 0.02, 0.01
hurdles, 19, 0.02, 0.06
milburn, 19, 0.02, 0.06
by, 15, 0.01, 0.0
for, 15, 0.01, 0.0
as, 13, 0.01, 0.0
he, 13, 0.01, 0.0
on, 12, 0.01, 0.0
world, 11, 0.01, 0.01
record, 9, 0.01, 0.02
s, 9, 0.01, 0.0
track, 9, 0.01, 0.03
an, 8, 0.01, 0.0
olympic, 8, 0.01, 0.03
that, 8, 0.01, 0.0
time, 8, 0.01, 0.01
with, 7, 0.01, 0.0
olympics, 6, 0.01, 0.03
high, 6, 0.01, 0.01
