the, 32, 0.07, 0.0
gates, 22, 0.05, 0.15
of, 20, 0.04, 0.0
and, 17, 0.04, 0.0
he, 15, 0.03, 0.01
in, 13, 0.03, 0.0
a, 12, 0.02, 0.0
william, 10, 0.02, 0.04
bill, 9, 0.02, 0.04
was, 8, 0.02, 0.0
his, 8, 0.02, 0.01
to, 7, 0.01, 0.0
is, 7, 0.01, 0.0
sr, 6, 0.01, 0.02
for, 6, 0.01, 0.0
as, 5, 0.01, 0.0
henry, 5, 0.01, 0.02
firm, 4, 0.01, 0.02
washington, 4, 0.01, 0.02
married, 4, 0.01, 0.02
with, 3, 0.01, 0.0
world, 3, 0.01, 0.01
known, 3, 0.01, 0.01
cochair, 3, 0.01, 0.03
on, 3, 0.01, 0.0
also, 3, 0.01, 0.01
