the, 116, 0.08, 0.0
of, 54, 0.04, 0.0
in, 41, 0.03, 0.0
a, 40, 0.03, 0.0
to, 34, 0.02, 0.0
pickering, 28, 0.02, 0.06
was, 28, 0.02, 0.0
and, 23, 0.02, 0.0
for, 18, 0.01, 0.0
he, 18, 0.01, 0.0
mississippi, 16, 0.01, 0.03
with, 13, 0.01, 0.0
his, 13, 0.01, 0.01
by, 12, 0.01, 0.0
that, 10, 0.01, 0.0
as, 9, 0.01, 0.0
rights, 9, 0.01, 0.02
senate, 9, 0.01, 0.02
nomination, 9, 0.01, 0.02
from, 9, 0.01, 0.0
united, 8, 0.01, 0.01
states, 8, 0.01, 0.01
on, 8, 0.01, 0.0
who, 8, 0.01, 0.01
civil, 7, 0.01, 0.02
had, 7, 0.01, 0.01
