the, 76, 0.05, 0.0
he, 42, 0.03, 0.01
in, 37, 0.02, 0.0
and, 36, 0.02, 0.0
to, 36, 0.02, 0.0
games, 36, 0.02, 0.04
of, 35, 0.02, 0.0
was, 35, 0.02, 0.0
a, 31, 0.02, 0.0
on, 24, 0.02, 0.0
his, 24, 0.02, 0.01
gilbert, 23, 0.02, 0.05
with, 22, 0.01, 0.0
for, 21, 0.01, 0.0
game, 20, 0.01, 0.02
as, 15, 0.01, 0.0
that, 14, 0.01, 0.0
at, 13, 0.01, 0.0
by, 11, 0.01, 0.0
lucasarts, 11, 0.01, 0.03
monkey, 10, 0.01, 0.03
ron, 9, 0.01, 0.02
island, 9, 0.01, 0.02
an, 8, 0.01, 0.0
after, 8, 0.01, 0.01
company, 8, 0.01, 0.02
it, 8, 0.01, 0.0
him, 8, 0.01, 0.01
